Dataset,#TrainingRelease,%training/total,%Defective/training,%Defective/testing,Classifier,Feature Selection,Balancing,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,No,No,9,3,228,63,0.75,0.12,0.96,0.16
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,No,Sensitive Threshold,72,200,31,0,0.26,1,0.57,0.07
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,No,Sensitive Learning,72,131,100,0,0.35,1,0.85,0.27
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,oversampling,No,8,37,194,64,0.18,0.11,0.67,-0.06
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,oversampling,Sensitive Threshold,72,187,44,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,oversampling,Sensitive Learning,41,14,217,31,0.75,0.57,0.89,0.55
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,undersampling,No,11,12,219,61,0.48,0.15,0.91,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,undersampling,Sensitive Threshold,72,219,12,0,0.25,1,0.53,0.03
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,undersampling,Sensitive Learning,13,21,210,59,0.38,0.18,0.74,0.11
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,SMOTE,No,39,5,226,33,0.89,0.54,0.97,0.6
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,SMOTE,Sensitive Threshold,72,195,36,0,0.27,1,0.58,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,No,SMOTE,Sensitive Learning,72,187,44,0,0.28,1,0.59,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,No,No,63,0,231,9,1,0.88,0.99,0.91
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,No,Sensitive Threshold,72,222,9,0,0.24,1,0.52,0.02
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,No,Sensitive Learning,72,226,5,0,0.24,1,0.98,0.01
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,oversampling,No,50,49,182,22,0.51,0.69,0.88,0.43
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,oversampling,Sensitive Threshold,72,187,44,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,oversampling,Sensitive Learning,50,54,177,22,0.48,0.69,0.83,0.4
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,undersampling,No,72,41,190,0,0.64,1,0.99,0.69
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,undersampling,Sensitive Threshold,72,230,1,0,0.24,1,0.5,0
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,undersampling,Sensitive Learning,72,155,76,0,0.32,1,0.68,0.19
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,SMOTE,No,63,0,231,9,1,0.88,0.99,0.91
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,SMOTE,Sensitive Threshold,72,194,37,0,0.27,1,0.58,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Best first,SMOTE,Sensitive Learning,72,204,27,0,0.26,1,0.74,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,No,No,63,0,231,9,1,0.88,0.99,0.91
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,No,Sensitive Threshold,72,226,5,0,0.24,1,0.51,0.01
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,No,Sensitive Learning,72,230,1,0,0.24,1,0.97,0
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,oversampling,No,50,49,182,22,0.51,0.69,0.88,0.43
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,oversampling,Sensitive Threshold,72,187,44,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,oversampling,Sensitive Learning,50,54,177,22,0.48,0.69,0.83,0.4
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,undersampling,No,72,41,190,0,0.64,1,0.99,0.69
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,undersampling,Sensitive Threshold,72,230,1,0,0.24,1,0.5,0
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,undersampling,Sensitive Learning,72,155,76,0,0.32,1,0.68,0.19
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,SMOTE,No,63,0,231,9,1,0.88,0.99,0.91
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,SMOTE,Sensitive Threshold,72,194,37,0,0.27,1,0.58,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Random Forest,Greedy Backward,SMOTE,Sensitive Learning,72,204,27,0,0.26,1,0.74,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,No,No,7,8,223,65,0.47,0.1,0.53,0.09
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,No,Sensitive Threshold,7,8,223,65,0.47,0.1,0.53,0.09
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,No,Sensitive Learning,7,8,223,65,0.47,0.1,0.53,0.09
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,oversampling,No,12,27,204,60,0.31,0.17,0.51,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,oversampling,Sensitive Threshold,12,27,204,60,0.31,0.17,0.52,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,oversampling,Sensitive Learning,71,158,73,1,0.31,0.99,0.64,0.17
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,undersampling,No,12,24,207,60,0.33,0.17,0.53,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,undersampling,Sensitive Threshold,12,24,207,60,0.33,0.17,0.53,0.08
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,undersampling,Sensitive Learning,72,163,68,0,0.31,1,0.65,0.17
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,SMOTE,No,10,7,224,62,0.59,0.14,0.55,0.15
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,SMOTE,Sensitive Threshold,10,7,224,62,0.59,0.14,0.55,0.15
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,No,SMOTE,Sensitive Learning,20,114,117,52,0.15,0.28,0.37,-0.17
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,No,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,No,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,No,Sensitive Learning,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,oversampling,No,13,22,209,59,0.37,0.18,0.29,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,oversampling,Sensitive Threshold,13,22,209,59,0.37,0.18,0.54,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,oversampling,Sensitive Learning,10,36,195,62,0.22,0.14,0.61,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,undersampling,No,15,21,210,57,0.42,0.21,0.28,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,undersampling,Sensitive Threshold,15,21,210,57,0.42,0.21,0.56,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,undersampling,Sensitive Learning,7,31,200,65,0.18,0.1,0.49,-0.04
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,SMOTE,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,SMOTE,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Best first,SMOTE,Sensitive Learning,7,26,205,65,0.21,0.1,0.49,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,No,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,No,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,No,Sensitive Learning,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,oversampling,No,13,22,209,59,0.37,0.18,0.29,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,oversampling,Sensitive Threshold,13,22,209,59,0.37,0.18,0.54,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,oversampling,Sensitive Learning,10,36,195,62,0.22,0.14,0.61,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,undersampling,No,15,21,210,57,0.42,0.21,0.28,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,undersampling,Sensitive Threshold,15,21,210,57,0.42,0.21,0.56,0.14
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,undersampling,Sensitive Learning,7,31,200,65,0.18,0.1,0.49,-0.04
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,SMOTE,No,10,9,222,62,0.53,0.14,0.24,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,SMOTE,Sensitive Threshold,10,9,222,62,0.53,0.14,0.55,0.13
BOOKKEEPER,1,8.85,59.8,76.24,Ibk,Greedy Backward,SMOTE,Sensitive Learning,7,26,205,65,0.21,0.1,0.49,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,No,No,72,184,47,0,0.28,1,0.57,0.11
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,No,Sensitive Threshold,72,186,45,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,No,Sensitive Learning,72,186,45,0,0.28,1,0.56,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,oversampling,No,72,202,29,0,0.26,1,0.52,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,oversampling,Sensitive Threshold,72,206,25,0,0.26,1,0.55,0.05
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,oversampling,Sensitive Learning,54,82,149,18,0.4,0.75,0.79,0.3
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,undersampling,No,72,191,40,0,0.27,1,0.5,0.09
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,undersampling,Sensitive Threshold,72,205,26,0,0.26,1,0.56,0.06
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,undersampling,Sensitive Learning,5,27,204,67,0.16,0.07,0.52,-0.06
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,SMOTE,No,72,126,105,0,0.36,1,0.55,0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,SMOTE,Sensitive Threshold,72,186,45,0,0.28,1,0.6,0.1
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,No,SMOTE,Sensitive Learning,11,98,133,61,0.1,0.15,0.46,-0.23
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,No,No,10,31,200,62,0.24,0.14,0.48,0.01
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,No,Sensitive Threshold,72,138,93,0,0.34,1,0.7,0.24
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,No,Sensitive Learning,72,135,96,0,0.35,1,0.49,0.25
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,oversampling,No,11,94,137,61,0.1,0.15,0.4,-0.22
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,oversampling,Sensitive Threshold,29,148,83,43,0.16,0.4,0.38,-0.16
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,oversampling,Sensitive Learning,34,35,196,38,0.49,0.47,0.72,0.33
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,undersampling,No,11,89,142,61,0.11,0.15,0.42,-0.21
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,undersampling,Sensitive Threshold,11,148,83,61,0.07,0.15,0.26,-0.34
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,undersampling,Sensitive Learning,11,117,114,61,0.09,0.15,0.45,-0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,SMOTE,No,10,37,194,62,0.21,0.14,0.48,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,SMOTE,Sensitive Threshold,14,131,100,58,0.1,0.19,0.31,-0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Best first,SMOTE,Sensitive Learning,22,134,97,50,0.14,0.31,0.46,-0.2
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,No,No,10,31,200,62,0.24,0.14,0.48,0.01
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,No,Sensitive Threshold,72,138,93,0,0.34,1,0.7,0.24
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,No,Sensitive Learning,72,135,96,0,0.35,1,0.49,0.25
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,oversampling,No,11,94,137,61,0.1,0.15,0.4,-0.22
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,oversampling,Sensitive Threshold,29,148,83,43,0.16,0.4,0.38,-0.16
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,oversampling,Sensitive Learning,34,35,196,38,0.49,0.47,0.72,0.33
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,undersampling,No,11,89,142,61,0.11,0.15,0.42,-0.21
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,undersampling,Sensitive Threshold,11,148,83,61,0.07,0.15,0.26,-0.34
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,undersampling,Sensitive Learning,11,117,114,61,0.09,0.15,0.45,-0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,SMOTE,No,10,37,194,62,0.21,0.14,0.48,-0.02
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,SMOTE,Sensitive Threshold,14,131,100,58,0.1,0.19,0.31,-0.28
BOOKKEEPER,1,8.85,59.8,76.24,Naive Bayes,Greedy Backward,SMOTE,Sensitive Learning,22,134,97,50,0.14,0.31,0.46,-0.2
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,No,No,70,0,329,66,1,0.51,0.93,0.6
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,No,Sensitive Threshold,133,184,145,3,0.42,0.98,0.71,0.3
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,No,Sensitive Learning,122,121,208,14,0.5,0.9,0.91,0.43
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,oversampling,No,88,29,300,48,0.75,0.65,0.89,0.58
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,oversampling,Sensitive Threshold,135,246,83,1,0.35,0.99,0.62,0.16
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,oversampling,Sensitive Learning,103,57,272,33,0.64,0.76,0.89,0.56
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,undersampling,No,102,25,304,34,0.8,0.75,0.92,0.69
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,undersampling,Sensitive Threshold,136,291,38,0,0.32,1,0.56,0.07
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,undersampling,Sensitive Learning,95,69,260,41,0.58,0.7,0.84,0.46
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,SMOTE,No,109,38,291,27,0.74,0.8,0.93,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,SMOTE,Sensitive Threshold,135,253,76,1,0.35,0.99,0.61,0.14
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,No,SMOTE,Sensitive Learning,131,176,153,5,0.43,0.96,0.89,0.31
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,No,No,72,0,329,64,1,0.53,0.93,0.61
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,No,Sensitive Threshold,133,177,152,3,0.43,0.98,0.72,0.32
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,No,Sensitive Learning,134,191,138,2,0.41,0.99,0.93,0.29
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,oversampling,No,107,35,294,29,0.75,0.79,0.91,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,oversampling,Sensitive Threshold,135,243,86,1,0.36,0.99,0.63,0.17
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,oversampling,Sensitive Learning,108,106,223,28,0.5,0.79,0.84,0.4
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,undersampling,No,107,36,293,29,0.75,0.79,0.91,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,undersampling,Sensitive Threshold,136,302,27,0,0.31,1,0.54,0.05
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,undersampling,Sensitive Learning,103,73,256,33,0.59,0.76,0.82,0.49
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,SMOTE,No,114,45,284,22,0.72,0.84,0.93,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,SMOTE,Sensitive Threshold,135,263,66,1,0.34,0.99,0.6,0.12
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Best first,SMOTE,Sensitive Learning,135,270,59,1,0.33,0.99,0.86,0.11
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,No,No,72,0,329,64,1,0.53,0.91,0.61
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,No,Sensitive Threshold,132,183,146,4,0.42,0.97,0.71,0.3
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,No,Sensitive Learning,133,194,135,3,0.41,0.98,0.93,0.27
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,oversampling,No,107,35,294,29,0.75,0.79,0.91,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,oversampling,Sensitive Threshold,135,243,86,1,0.36,0.99,0.63,0.17
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,oversampling,Sensitive Learning,108,106,223,28,0.5,0.79,0.84,0.4
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,undersampling,No,107,36,293,29,0.75,0.79,0.91,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,undersampling,Sensitive Threshold,136,302,27,0,0.31,1,0.54,0.05
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,undersampling,Sensitive Learning,103,73,256,33,0.59,0.76,0.82,0.49
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,SMOTE,No,114,45,284,22,0.72,0.84,0.93,0.67
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,SMOTE,Sensitive Threshold,135,263,66,1,0.34,0.99,0.6,0.12
BOOKKEEPER,2,17.76,68.05,70.75,Random Forest,Greedy Backward,SMOTE,Sensitive Learning,135,270,59,1,0.33,0.99,0.86,0.11
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,No,No,86,2,327,50,0.98,0.63,0.81,0.7
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,No,Sensitive Threshold,86,2,327,50,0.98,0.63,0.81,0.7
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,No,Sensitive Learning,86,2,327,50,0.98,0.63,0.81,0.7
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,oversampling,No,88,21,308,48,0.81,0.65,0.79,0.62
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,oversampling,Sensitive Threshold,88,22,307,48,0.8,0.65,0.79,0.61
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,oversampling,Sensitive Learning,95,52,277,41,0.65,0.7,0.79,0.53
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,undersampling,No,97,25,304,39,0.8,0.71,0.82,0.66
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,undersampling,Sensitive Threshold,97,28,301,39,0.78,0.71,0.81,0.64
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,undersampling,Sensitive Learning,69,39,290,67,0.64,0.51,0.68,0.41
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,SMOTE,No,90,3,326,46,0.97,0.66,0.83,0.72
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,SMOTE,Sensitive Threshold,90,3,326,46,0.97,0.66,0.83,0.72
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,No,SMOTE,Sensitive Learning,106,59,270,30,0.64,0.78,0.79,0.56
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Best first,No,No,90,4,325,46,0.96,0.66,0.83,0.71
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Best first,No,Sensitive Threshold,90,4,325,46,0.96,0.66,0.82,0.71
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Best first,No,Sensitive Learning,90,4,325,46,0.96,0.66,0.83,0.71
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Best first,oversampling,No,88,20,309,48,0.81,0.65,0.79,0.62
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Best first,oversampling,Sensitive Threshold,89,20,309,47,0.82,0.65,0.8,0.63
BOOKKEEPER,2,17.76,68.05,70.75,Ibk,Best first,oversampling,Sensitive Learning,98,73,256,38,0.57,0.72,0.75,0.46
